UnivID,UnivName,UnivLoc,Year,Tag Line,UK Rank,World Class Rank,CWURScore,Min Ielts Score ,Avg fees UG (in pounds),Avg fees PG ,International student percent,Student Satisfication Percent,Enrolled students,Teaching Staff,Type ,note,Campus Locality, Living Expenses per year(in pounds) ,Latitude,Longitude,Website,Chance of Admission
2109,University of Sunderland,North East England,1992,Sweetly absorbing knowledge,109,1050,NA,4,8350," £23,187.00 ",25.10%,77.20%,"10,000-14,999",900-999,Public,Continuous,Urban," £8,000.00 ",54.9046,-1.3915,www.sunderland.ac.uk,0.03
2110,Bath Spa University,South West England,1975,NA,110,1334,NA,4.5,11300," £23,187.00 ",7.40%,72.20%,"7,000-7,999",600-699,Public,NA,Rural," £8,217.00 ",51.3749,-2.4394,www.bathspa.ac.uk,0.69
2111,University of Salford,North West England,1967,Let us seek higher things,111,680,67.7,4.5,11795," £23,187.00 ",11.10%,76.80%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban," £7,471.00 ",53.4872,-2.2737,www.salford.ac.uk,0.41
2112,Cardiff Metropolitan University,Wales,2011,The most valuable possession is knowledge,112,1821,NA,4.5,10800," £23,187.00 ",18.00%,80.00%,"10,000-14,999",700-799,Public,Semesters,Urban," £7,500.00 ",51.496,-3.2121,www.cardiffmet.ac.uk,0.14
2113,Buckinghamshire New University,South East England,2007,By Art and Industry,113,2727,NA,4.5,9500," £23,187.00 ",7.60%,79.70%,"10,000-14,999",400-499,Public,Semesters,Suburban," £8,990.00 ",51.6279,-0.7533,bucks.ac.uk/,0.49
2114,University of South Wales,Wales,1841,Success Through Endeavour,114,1129,66.4,4.5,10100," £23,187.00 ",11.80%,79.50%,"20,000-24,999","1,000-1,499",Public,Trimesters,NA," £7,771.00 ",51.479,-3.1694,www.southwales.ac.uk/,0.38
2115,Newman University,West Midlands,1968,From the shadow to the truth,115,5253,NA,4.5,10500," £23,187.00 ",15.59%,81.20%,"2,000-2,999",100-199,Public,NA,Suburban," £10,000.00 ",52.433,-1.9936,www.newman.ac.uk/,0.92
2116,University of Northampton,East Midlands,2005,Let us not be ignorant,116,1198,NA,4,10700," £23,187.00 ",9.60%,73.90%,"10,000-14,999",800-899,Public,NA,Suburban," £9,000.00 ",52.2305,-0.887,www.northampton.ac.uk,0.47
2117,Leeds Trinity University,Yorkshire and the Humber,2012,Knowledge and Excellence,117,3200,NA,4.5,10750," £23,187.00 ",0.70%,74.80%,"3,000-3,999",100-199,Public,Semesters,Suburban," £7,500.00 ",53.8483,-1.6453,www.leedstrinity.ac.uk/,0.1
2118,Canterbury Christ Church University,South East England,2005,The truth shall set you free,118,1578,NA,4.5,11000," £23,187.00 ",5.70%,75.70%,"10,000-14,999",700-799,Public,Trimesters,Urban," £8,990.00 ",51.2795,1.0899,www.canterbury.ac.uk,0.45
2119,University of Westminster,London,1838,The Lord is our Strength,119,801,66.9,5.5,12000," £23,187.00 ",21.10%,75.10%,"15,000-19,999","1,500-1,999",Public,Semesters,Urban," £10,229.00 ",51.517,-0.1432,www.wmin.ac.uk,0.86
2120,Anglia Ruskin University,East of England,1858,Excellence through partnership,120,730,68.1,4,10500," £23,187.00 ",10.40%,79.00%,"20,000-24,999",900-999,Public,Semesters,Urban," £9,415.00 ",52.2033,0.1345,www.anglia.ac.uk,0.36
2121,University of Cumbria,North West England,2007,NA,121,2333,NA,4.5,10500," £23,187.00 ",1.50%,73.80%,"7,000-7,999",400-499,Public,NA,NA," £6,000.00 ",54.8909,-2.9222,www.cumbria.ac.uk,0.18
2122,University of Brighton,South East England,1992,NA,122,761,71.1,4.5,12660," £23,187.00 ",13.70%,75.80%,"20,000-24,999","1,500-1,999",Public,Continuous,NA," £8,990.00 ",50.8598,-0.0879,www.brighton.ac.uk,0.36
2123,Leeds Beckett University,Yorkshire and the Humber,1992,NA,123,657,66.1,4.5,9500," £23,187.00 ",5.70%,79.30%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban," £8,270.00 ",53.8035,-1.548,www.lmu.ac.uk,0.3
2124,University of Wolverhampton,West Midlands,1992,Innovation and opportunity,124,864,66,4.5,10000," £23,187.00 ",15.59%,78.80%,"15,000-19,999",900-999,Public,Semesters,NA," £9,097.00 ",52.5876,-2.1273,www.wlv.ac.uk/,0.38
2125,University of Bolton,North West England,2004,Wisdom is over Morus,125,2100,NA,4.5,11250," £23,187.00 ",6.90%,82.10%,"6,000-6,999",300-399,Public,Semesters,Urban," £6,000.00 ",53.5742,-2.4362,www.bolton.ac.uk,0.62
2126,London Metropolitan University,London,1848,Knowledge in Abundance,126,1025,NA,4.5,11400," £23,187.00 ",12.40%,75.70%,"9,000-9,999",400-499,Public,Continuous,Urban," £15,000.00 ",51.5526,-0.1113,www.londonmet.ac.uk,0.19
2127,University of East London,London,1992,Science and fulfillment of vows,127,971,NA,4.5,10700," £23,187.00 ",6.90%,76.10%,"10,000-14,999",900-999,Public,Semesters,Suburban," £10,229.00 ",51.5076,0.0651,www.uel.ac.uk,0.4
2128,University of Bedfordshire,East of England,2006,NA,128,1281,NA,4.5,9750," £23,187.00 ",11.70%,77.40%,"10,000-14,999",500-599,Public,Semesters,Urban," £9,415.00 ",51.8779,-0.4093,www.beds.ac.uk,0.48
2129,University of Suffolk,East of England,2007,Honesty and diligence,129,4030,NA,4.5,9495," £23,187.00 ",2.50%,76.00%,"7,000-7,999",200-299,Public,NA,NA," £9,415.00 ",52.0523,1.1629,www.ucs.ac.uk/,0.78
2130,Ravensbourne University London,London,1962,Designed for industry,131,2759,NA,5.5,9250," £23,187.00 ",15.59%,66.10%,"2,000-2,999",100-199,Public,Semesters,Urban," £10,229.00 ",51.5017,0.0055,www.ravensbourne.ac.uk,0.46
